Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,Max,Avg,Min
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,Max,Avg,Min
2025-05-03 20:17:53,0.0,0.0,94.0,2,1.94,1
2025-05-03 20:18:18,0.0,26.7,92.0,2,1.89,1
2025-05-03 20:18:44,0.0,55.3,10.0,2,1.90,1
2025-05-03 20:19:09,46.7,0.0,78.7,2,1.89,0
2025-05-03 20:19:36,56.0,0.0,84.0,2,1.77,1
2025-05-03 20:20:04,10.0,0.0,90.7,2,1.69,1
2025-05-03 20:20:30,0.0,0.0,35.3,3,1.34,0
2025-05-03 20:20:56,0.0,0.0,47.3,2,1.47,1
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,Max,Avg,Min
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,Max,Avg,Min
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,Max,Avg,Min
2025-05-03 20:25:26,0.0,0.0,94.0,2.00
2025-05-03 20:25:52,0.0,26.7,92.0,2.00
2025-05-03 20:26:17,0.0,55.3,10.0,2.00
2025-05-03 20:26:43,46.7,0.0,78.7,2.00
2025-05-03 20:27:10,56.0,0.0,84.0,2.00
2025-05-03 20:27:37,10.0,0.0,90.7,2.00
2025-05-03 20:28:05,0.0,0.0,35.3,2.00
2025-05-03 20:28:31,0.0,0.0,47.3,2.00
2025-05-03 20:28:59,25.3,12.0,36.0,2.00
2025-05-03 20:29:28,57.3,1.3,14.7,1.00
2025-05-03 20:29:56,51.3,0.0,30.7,2.00
2025-05-03 20:30:25,0.0,0.0,41.3,1.00
2025-05-03 20:30:52,0.0,0.0,4.0,1.00
2025-05-03 20:31:19,0.0,8.7,0.0,1.00
2025-05-03 20:31:45,0.0,0.0,0.0,2.00
2025-05-03 20:32:12,0.0,2.0,7.3,2.00
2025-05-03 20:32:38,0.0,2.7,9.3,2.00
2025-05-03 20:33:05,0.0,0.0,28.7,2.00
2025-05-03 20:33:32,0.0,2.7,27.3,2.00
2025-05-03 20:33:59,0.0,0.0,14.0,2.00
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,%Fuera_ROI,Avg
2025-05-03 20:36:04,11.7,20.5,68.7,13.8,2
2025-05-03 20:37:43,16.5,0.0,64.3,31.5,2
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,%Fuera_ROI,Avg
2025-05-03 20:39:34,0.0,0.0,100.0,0.0,2
2025-05-03 20:39:50,0.0,0.0,87.0,13.0,2
2025-05-03 20:40:07,0.0,40.0,92.0,17.0,2
2025-05-03 20:40:24,0.0,74.0,0.0,43.0,2
2025-05-03 20:40:40,0.0,9.0,57.0,77.0,2
2025-05-03 20:40:59,70.0,0.0,76.0,83.0,2
2025-05-03 20:41:17,82.0,0.0,76.0,85.0,2
2025-05-03 20:41:35,17.0,0.0,100.0,85.0,2
2025-05-03 20:41:54,0.0,0.0,86.0,99.0,2
2025-05-03 20:42:12,0.0,0.0,46.0,150.0,2
2025-05-03 20:42:31,0.0,0.0,16.0,234.0,2
2025-05-03 20:42:50,0.0,0.0,62.0,272.0,2
2025-05-03 20:43:11,0.0,13.0,54.0,300.0,2
2025-05-03 20:43:31,87.0,7.0,0.0,312.0,2
2025-05-03 20:43:51,37.0,0.0,22.0,312.0,1
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,%Fuera_ROI,Avg
2025-05-03 21:46:56,0.0,0.0,12.0,71.0,2
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,%Fuera_ROI,Avg
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,%Fuera_ROI,Avg
2025-05-03 21:51:04,68.0,0.0,7.0,8.0,2
Timestamp,%ROI_Left,%ROI_Center,%ROI_Right,%Fuera_ROI,Avg
